iter	Passed	Remaining
0	2	826
1	5	806
2	7	766
3	9	731
4	11	697
5	13	671
6	16	675
7	18	673
8	21	681
9	23	683
10	26	698
11	29	707
12	32	718
13	35	723
14	38	724
15	40	719
16	42	714
17	45	708
18	47	704
19	50	702
20	52	700
21	56	709
22	58	709
23	61	710
24	65	716
25	68	719
26	71	721
27	74	721
28	77	722
29	80	720
30	82	719
31	85	719
32	88	717
33	91	714
34	93	711
35	96	709
36	99	706
37	103	716
38	107	721
39	111	723
40	114	721
41	116	718
42	120	717
43	122	713
44	124	707
45	127	703
46	129	698
47	132	693
48	134	690
49	137	687
50	140	684
51	142	681
52	145	679
53	148	677
54	151	675
55	154	671
56	156	668
57	159	665
58	161	661
59	164	657
60	167	654
61	169	651
62	172	647
63	174	644
64	177	641
65	179	637
66	182	634
67	184	631
68	186	625
69	189	621
70	191	616
71	193	611
72	195	606
73	197	601
74	199	597
75	201	593
76	203	588
77	205	584
78	207	579
79	209	575
80	211	570
81	213	566
82	215	563
83	217	559
84	219	555
85	221	551
86	223	547
87	225	543
88	227	539
89	229	535
90	231	532
91	234	529
92	236	526
93	238	523
94	241	520
95	243	517
96	245	513
97	247	510
98	250	507
99	252	504
100	254	501
101	256	497
102	258	494
103	260	491
104	262	488
105	265	485
106	267	482
107	269	478
108	271	475
109	273	472
110	275	468
111	277	465
112	279	462
113	281	459
114	283	456
115	285	452
116	287	449
117	288	445
118	290	442
119	292	438
120	294	435
121	296	432
122	298	429
123	300	426
124	302	424
125	305	421
126	307	419
127	310	416
128	312	413
129	314	411
130	317	408
131	319	406
132	321	403
133	323	400
134	326	398
135	328	396
136	330	393
137	333	391
138	335	388
139	337	385
140	339	383
141	342	380
142	344	378
143	346	375
144	349	373
145	351	370
146	353	367
147	355	365
148	357	362
149	359	359
150	361	356
151	362	353
152	364	350
153	366	347
154	368	344
155	370	341
156	371	338
157	373	335
158	375	332
159	377	329
160	379	327
161	380	324
162	382	321
163	384	318
164	385	315
165	387	312
166	389	310
167	391	307
168	392	304
169	394	302
170	397	299
171	399	297
172	401	294
173	402	291
174	404	288
175	406	286
176	408	283
177	410	281
178	412	278
179	414	276
180	415	273
181	417	270
182	419	268
183	421	265
184	422	262
185	424	260
186	426	257
187	428	255
188	431	253
189	433	250
190	435	248
191	437	246
192	440	244
193	442	241
194	445	239
195	447	237
196	449	235
197	451	232
198	453	230
199	456	228
200	458	225
201	460	223
202	462	220
203	464	218
204	465	215
205	467	213
206	469	210
207	470	208
208	472	205
209	474	203
210	476	201
211	478	198
212	480	196
213	482	194
214	484	191
215	487	189
216	489	187
217	491	184
218	493	182
219	495	180
220	497	177
221	499	175
222	501	173
223	503	170
224	505	168
225	508	166
226	510	164
227	512	161
228	514	159
229	516	157
230	518	154
231	520	152
232	522	150
233	524	148
234	527	145
235	529	143
236	531	141
237	533	138
238	535	136
239	537	134
240	539	132
241	541	129
242	543	127
243	545	125
244	547	122
245	549	120
246	552	118
247	554	116
248	556	114
249	558	111
250	560	109
251	562	107
252	564	104
253	566	102
254	568	100
255	570	98
256	573	95
257	575	93
258	577	91
259	579	89
260	581	86
261	583	84
262	586	82
263	588	80
264	590	78
265	593	75
266	595	73
267	597	71
268	600	69
269	601	66
270	604	64
271	606	62
272	608	60
273	610	57
274	612	55
275	614	53
276	616	51
277	617	48
278	619	46
279	622	44
280	624	42
281	626	39
282	628	37
283	630	35
284	632	33
285	634	31
286	636	28
287	639	26
288	641	24
289	643	22
290	645	19
291	647	17
292	649	15
293	651	13
294	653	11
295	656	8
296	658	6
297	660	4
298	662	2
299	664	0
